,comments,CleanedText
126,It's an interesting twist on the existing Tulsi ginger teas. Adding turmeric gives it a different flavour and a dose of healthy too. Excellent for a sore throat or slight cold. I especially like the mild flavours.,It's an interesting twist on the existing Tulsi ginger teas. Adding turmeric gives it a different flavour and a dose of healthy too. Excellent for a sore throat or slight cold. I especially like the mild flavours.
127,It's really flavoured and because of certain types of flavours are there in that tea bags. The packaging was also good to look.,It's really flavoured and because of certain types of flavours are there in that tea bags. The packaging was also good to look.
128,"Tasteless, flavourless","Tasteless, flavourless"
129,Very crisp and soothing to throat. Do try this one.,Very crisp and soothing to throat. Do try this one.
130,"Not too strong, you can't feel the taste that much doesn't blend with water that well","Not too strong, you can't feel the taste that much doesn't blend with water that well"
131,This is my 5th order with only leaf. I’ve become fond of their tea blends. But this time most of the teabags are either fused to the packaging or already have a tear. This has become frustrating because I end up using a strainer every time.,This is my 5th order with only leaf. I’ve become fond of their tea blends. But this time most of the teabags are either fused to the packaging or already have a tear. This has become frustrating because I end up using a strainer every time.
132,great quality product,great quality product
133,Fabulous product...taste fantastic and supa smooth.  Feels like drinking lovely flavoured water.No bitterness at all. In love with it,Fabulous product. taste fantastic and supa smooth.  Feels like drinking lovely flavoured water. No bitterness at all. In love with it
134,I used many other products earlier. But it is the best Green Tea I have ever consumed.,I used many other products earlier. But it is the best Green Tea I have ever consumed.
135,"The tea is packed in plastic (not the usual paper) and not good, although good in terms of taste. I recently read that this could be a health hazard as it releases billions of minute plastic particles when put in hot water. not going to buy any more.","The tea is packed in plastic (not the usual paper) and not good, although good in terms of taste. I recently read that this could be a health hazard as it releases billions of minute plastic particles when put in hot water. not going to buy any more."
136,Good,Good
137,Excellent,Excellent
138,Nice product..good service..,Nice product. good service.
139,Very refreshing & awesum flavour. Product is really very worth the money. Go for it blindly!!,Very refreshing & awesum flavour. Product is really very worth the money. Go for it blindly.
140,Cinnamon flavor is more than others,Cinnamon flavor is more than others
141,Average flavored,Average flavored
142,I bought it first time and find very good quality. I love it. Very fine packing and shipping.,I bought it first time and find very good quality. I love it. Very fine packing and shipping.
143,This tea helps your throat and it is very soothing! The aroma itself calms your mind,This tea helps your throat and it is very soothing. The aroma itself calms your mind
144,"It is really value for money. The tea bags contain only whole leaves, which are much better and healthier than the dust.","It is really value for money. The tea bags contain only whole leaves, which are much better and healthier than the dust."
145,Loved the product..have authentic taste and feels refreshing after every sipThank you for amazing product!,Loved the product. have authentic taste and feels refreshing after every sipThank you for amazing product.
146,Best product I ever usedBest green tea brand in marketMust buy,Best product I ever usedBest green tea brand in marketMust buy
147,Rare combination of taste + health .... Best green tea available in the market😊 #Valueformoney,Rare combination of taste + health . Best green tea available in the market😊 #Valueformoney
148,genuine product,genuine product
149,The taste is amazing. Works well when clubbed with bottle having filters. Refreshing.,The taste is amazing. Works well when clubbed with bottle having filters. Refreshing.
150,Authentic taste..,Authentic taste.
151,"The taste of tea is good and natural. Also, the flavours are balanced and authentic.","The taste of tea is good and natural. Also, the flavours are balanced and authentic."
152,The product is wonderful. The aroma is pleasant and the tea has a fresh flavour.,The product is wonderful. The aroma is pleasant and the tea has a fresh flavour.
153,"Ahaaa I am in love with this product very soothing,tasty not like other green teas.","Ahaaa I am in love with this product very soothing,tasty not like other green teas."
154,Okay,Okay
155,"Best green tea.  Enriched with goodness of turmeric, Tulsi, ginger. Love the product.","Best green tea.  Enriched with goodness of turmeric, Tulsi, ginger. Love the product."
156,A genuine and well packed product to be enjoyed for its freshness,A genuine and well packed product to be enjoyed for its freshness
157,"fantastic, fabulous and very very good product , I suggest everyone to buy this.","fantastic, fabulous and very very good product , I suggest everyone to buy this."
158,It's good,It's good
159,"Taste is very good. Its very healthy, refreshing and energetic","Taste is very good. Its very healthy, refreshing and energetic"
160,"It's taste is very natural, no artificial flavors, strongly recommend Only leaf...","It's taste is very natural, no artificial flavors, strongly recommend Only leaf."
161,Regular customer of amazing pure green tea of different varieties.,Regular customer of amazing pure green tea of different varieties.
162,"no flavor, doubtful ingredients","no flavor, doubtful ingredients"
163,The product is amazing. The perfect blend of natural ingredients.Love this flavour.,The product is amazing. The perfect blend of natural ingredients. Love this flavour.
164,"Great Flavors, amazing taste. Love to try other flavors. 10/10 for quality, presentation.","Great Flavors, amazing taste. Love to try other flavors. 10/10 for quality, presentation."
165,It is quite effective than normal green tea.,It is quite effective than normal green tea.
166,Amazing taste like herbal teaYou can feel the smell of purity,Amazing taste like herbal teaYou can feel the smell of purity
167,Best,Best
168,"Amazing tea, flavour of turmeric is pretty strong, very refreshing. Really worth it!","Amazing tea, flavour of turmeric is pretty strong, very refreshing. Really worth it."
169,product was good.. safe packing..  its reached on time as we expected..  taste was nice.. good quality..,product was good. safe packing.  its reached on time as we expected.  taste was nice. good quality.
170,A very good flavour of green tea. Leaves a very pleasant taste.,A very good flavour of green tea. Leaves a very pleasant taste.
171,It's really refreshing and taste is really balanced.,It's really refreshing and taste is really balanced.
172,It's best tea start your day and makes you feel fresh.,It's best tea start your day and makes you feel fresh.
173,Nice,Nice
174,Freshness,Freshness
175,This is A wonderful product with a lot of freshness visible however only lacuna is the packing the tea bags are packed in a plastic bag which is Harmful,This is A wonderful product with a lot of freshness visible however only lacuna is the packing the tea bags are packed in a plastic bag which is Harmful
176,I got it on a lighting deal and is very soothing.,I got it on a lighting deal and is very soothing.
177,A good aromatic flavoured green tea with hundreds of goodness.,A good aromatic flavoured green tea with hundreds of goodness.
178,Amazing product. So far the best green tea I have had..,Amazing product. So far the best green tea I have had.
179,"Grat tea sply this one, mint flavored, and detox kahwa....","Grat tea sply this one, mint flavored, and detox kahwa."
180,Liking the flavor...,Liking the flavor.
181,Feels fresh and you can taste every ingredient.,Feels fresh and you can taste every ingredient.
182,"No taste or flavour. Not happy. My experience with previous products was that within days, the tea bags seem to lose the flavour","No taste or flavour. Not happy. My experience with previous products was that within days, the tea bags seem to lose the flavour"
183,"Simple yet elegant packing., Easy to use and refreshing flavour","Simple yet elegant packing., Easy to use and refreshing flavour"
184,Amazing taste and flavour. Loved the blend of ginger and tulsi with the tea gives it a very Indian taste.,Amazing taste and flavour. Loved the blend of ginger and tulsi with the tea gives it a very Indian taste.
185,"Nice flavor, also the packaging is really impressive.","Nice flavor, also the packaging is really impressive."
186,Only leafs green tea product is good especially turmeric flavors.,Only leafs green tea product is good especially turmeric flavors.
187,Best green tea brand I have tried till date,Best green tea brand I have tried till date
188,It's all natural. Go for it! :),It's all natural. Go for it. :)
189,Nice flavour ..Interesting free honey,Nice flavour . Interesting free honey
190,Amazing product.Huge variety to select from.Good quality.,Amazing product. Huge variety to select from. Good quality.
191,"Excellent tea and really refreshing, no doubt... but I definitely don't want to consume Glue/tea bag cloth along with my tea... it needs to be fixed.","Excellent tea and really refreshing, no doubt. but I definitely don't want to consume Glue/tea bag cloth along with my tea. it needs to be fixed."
192,Nice product.,Nice product.
193,Good taste...Package is well designed...,Good taste. Package is well designed.
194,Really good tea.. Authentic flavour of the tea is refreshing. Recommend this tea to all tea lovers.,Really good tea. Authentic flavour of the tea is refreshing. Recommend this tea to all tea lovers.
195,"The flavor is good, packing is really the best.","The flavor is good, packing is really the best."
196,l like very thing about this product,l like very thing about this product
197,Excellent tea! I ordered again and will keep ordering more.,Excellent tea. I ordered again and will keep ordering more.
198,"I like the boxing, taste, and dips","I like the boxing, taste, and dips"
199,Good packing and taste,Good packing and taste
200,The fusion product is nice to taste and relish !!!,The fusion product is nice to taste and relish .
201,Great tasteVery healthy and refreshing,Great tasteVery healthy and refreshing
202,Good product,Good product
203,Too good to be true,Too good to be true
204,Great Product. Amazing Flavour.,Great Product. Amazing Flavour.
205,It's immunity booster tea,It's immunity booster tea
206,It was just amazingly refreshing,It was just amazingly refreshing
207,Very earthly flavour of turmeric gives a new flavour to the tea. Very nice!,Very earthly flavour of turmeric gives a new flavour to the tea. Very nice.
208,You can change the taste,You can change the taste
209,"Expensive , quality not that good","Expensive , quality not that good"
210,Don't buy this product as tea bag is plastic and it will cause cancer etc. It is high risk.,Don't buy this product as tea bag is plastic and it will cause cancer etc. It is high risk.
211,Best tea,Best tea
212,Very nice it is,Very nice it is
213,Good for detox,Good for detox
214,"No taste, no concentration seems like I'm just drinking hot water.","No taste, no concentration seems like I'm just drinking hot water."
215,Good,Good
216,Good in taste,Good in taste
217,Good green tea,Good green tea
218,Bags looks like plastic material,Bags looks like plastic material
219,Superb quality,Superb quality
220,Tea bag is made of plastic dont buy !,Tea bag is made of plastic dont buy .
221,good product,good product
222,Excellent place,Excellent place
223,Nice,Nice
224,Good aroma n taste go for it,Good aroma n taste go for it
225,Great taste,Great taste
226,Good taste,Good taste
227,Good taste tea,Good taste tea
228,Very nice,Very nice
229,Only thing the nylon pyramid shaped tea bags is irritating.Why they used nylon mesh?Other than that it's good for all.,Only thing the nylon pyramid shaped tea bags is irritating. Why they used nylon mesh. Other than that it's good for all.
230,Ok,Ok
231,Bad Taste,Bad Taste
232,Very soothing tea,Very soothing tea
233,Recieved really bad crushed product... They have flavoured it artificially... Not happy ... Refund my money,Recieved really bad crushed product. They have flavoured it artificially. Not happy . Refund my money
234,👌👌👌👌👌👌👌,👌👌👌👌👌👌👌
235,"A very flavorsome blend, would strongly recommend!","A very flavorsome blend, would strongly recommend."
236,Absolutely no flavour ... Seems  to be nothing more than  a gimmick  in the name of herbal infusion.,Absolutely no flavour . Seems  to be nothing more than  a gimmick  in the name of herbal infusion.
237,Awesome product! Very impressed,Awesome product. Very impressed
238,Taste was no so.good,Taste was no so. good
239,Poor productNo flavor or taste..,Poor productNo flavor or taste.
240,Chamomile tea is better than turmeric tea.,Chamomile tea is better than turmeric tea.
241,Not good,Not good
242,I have tried turmeric ginger and Tulsi . Its really good and very refreshing worth trying. Yet to try other flavours,I have tried turmeric ginger and Tulsi . Its really good and very refreshing worth trying. Yet to try other flavours
243,In d description it's 27tea bags but received pack of 15 bags...,In d description it's 27tea bags but received pack of 15 bags.
244,The product was totally crushed and unable to return it as well,The product was totally crushed and unable to return it as well
245,Poor. No taste in tea.,Poor. No taste in tea.
246,The flavor us not good!!,The flavor us not good.
247,Tasteless experiment!,Tasteless experiment.
248,Ok ok types,Ok ok types
249,Worst product..,Worst product.
250,"I got this from my neighborhood hyper market.While the combination of tulsi,  ginger and turmeric seems great on paper this tea lacked the strong flavor expected out of it.  Needs more tulsi in it.  Overall presentation is awesome. Feels light and is not too bitter.","I got this from my neighborhood hyper market. While the combination of tulsi,  ginger and turmeric seems great on paper this tea lacked the strong flavor expected out of it.  Needs more tulsi in it.  Overall presentation is awesome. Feels light and is not too bitter."
251,"Tras having freshness and good taste though added with turmeric, ginger which is always grandmas home remedies with value for money cost","Tras having freshness and good taste though added with turmeric, ginger which is always grandmas home remedies with value for money cost"
252,Pl do not fall for the packing and the contents mentioned.... its better to buy Tulsi brand.... spend a high price to buy a green tea.,Pl do not fall for the packing and the contents mentioned. its better to buy Tulsi brand. spend a high price to buy a green tea.
253,Everything is fine. Taste is good.I have tried approx all flavours of it and they tastes so good.But real issue is the packaging.The strends of packing material is showing clearly in pic and can mix with tea.It's the main concern.,Everything is fine. Taste is good. I have tried approx all flavours of it and they tastes so good. But real issue is the packaging. The strends of packing material is showing clearly in pic and can mix with tea. It's the main concern.
254,Turmeric ginger and tulsi has natural detoxifying properties in its own. Only leaf helps us to have all 3 ingredients together in one pack with a good taste. Really good and beneficial.,Turmeric ginger and tulsi has natural detoxifying properties in its own. Only leaf helps us to have all 3 ingredients together in one pack with a good taste. Really good and beneficial.
255,It tastes good and I loved the packing.,It tastes good and I loved the packing.
256,It was an awesome experience to have all the natural ingredients together in an appropriate proportion. It was really relaxing and worthy of its cost .,It was an awesome experience to have all the natural ingredients together in an appropriate proportion. It was really relaxing and worthy of its cost .
257,Very refreshing taste. Specially the ginger based flavours are not only good in taste but also were very helpful in treating a sore throat. Highly recommended,Very refreshing taste. Specially the ginger based flavours are not only good in taste but also were very helpful in treating a sore throat. Highly recommended
258,Calm.... Pacifying taste... A complete comforting tea experience as whole,Calm. Pacifying taste. A complete comforting tea experience as whole
259,Pure leafy green tea. Strong in flavour.Best in taste .,Pure leafy green tea. Strong in flavour. Best in taste .
260,Value for money and good for health .,Value for money and good for health .
261,Superb green tea,Superb green tea
262,"i have tried detox kawah which was great in taste , but this certainly not.","i have tried detox kawah which was great in taste , but this certainly not."
263,Very nice,Very nice
264,I purchase supermarket...but worst taste in side plastic bags so heat water used health issues future...please don’t use,I purchase supermarket. but worst taste in side plastic bags so heat water used health issues future. please don’t use
265,Must try,Must try
266,Loved its taste and value for money product,Loved its taste and value for money product
267,Excellent product,Excellent product
268,Excellent taste.Good for throat.,Excellent taste. Good for throat.
269,"Love this tea, refreshing !!","Love this tea, refreshing ."
